1|The Fool|You are on the verge of an unexpected and exciting new adventure. Take a leap of faith.
2|The Magician|Your wishes and desires can be realized through determination and willpower.
3|The High Priestess|A time for learning and listening to your intuition.
4|The Empress|Connect with your feminine side through creativity, elegance, sensuality, fertility, and nurturing.
5|The Emperor|You have to pursue your goals similar to the way that the Emperor does, structured, strategically, and with a lot of perseverance.
6|The Hierophant|Time to learn the necessary values from a trusted source such as a mentor or a spiritual counselor.
7|The Lovers|You have major life-changing choices to make or are faced with a dilemma. Temptation is often part of that choice or dilemma.
8|The Chariot|Overcoming obstacles and achieving your goal through determination, focus, and willpower. You will feel motivated, ambitious, and in control.
9|Strength|You can obtain true control of a situation, and not simply the power to forcefully impose your will.
10|The Hermit|Committing to a personal quest for truth can be one of the most rewarding experiences of life.
11|Wheel of Fortune|A chance to discover more about yourself and to listen to your gut. There is nothing to fear.
12|Justice|Cause and effect as well as balanced thought and action.
13|The Hanged Man|The sacrifice of people and things that we would rather hold on to. Accept the loss for the greater good.
14|Death|There is no new beginning without an ending.
15|Temperance|Hold back from quick judgment. Resist the temptation to react immediately.
16|Devil|Redirect your attention away from the satisfaction of desires and toward the things that really matter.
17|The Tower|Total destruction. Prepare for things to be levelled and dismantled.
18|The Star|Open your heart, realize your inner strength, and have faith that the best is yet to come.
19|The Moon|Trust your intuition and push forward, you will receive deliverance from what binds you.
20|The Sun|Look at the bright side of things and remind ourselves that hard times do not last forever
21|Judgement|Weigh your actions and see to it that they are in line with your values and beliefs.
22|The World|A long-term project, period of study, or any other major event in your life has come full circle and that you accomplished your goals and aspirations.
23|Suit of Cups|Water - Bring attention to how you react to your environment.
24|Suit of Pentacles|Earth - Bring attention to your finances.
25|Suit of Swords|Air - Bring attention to your communication.
26|Suit of Wands|Fire - Bring attention to your goals and dreams.
27|Ace of Cups|New emotional beginnings, love, compassion, and creativity flow into your life.
28|Two of Cups|Partnership, unity, and mutual attraction. A strong emotional bond forms.
29|Three of Cups|Celebration, friendship, and joyful gatherings.
30|Four of Cups|Contemplation and reevaluation. You may be missing an opportunity.
31|Five of Cups|Loss and disappointment, but not all is lost—focus on what remains.
32|Six of Cups|Nostalgia, childhood memories, and reconnecting with the past.
33|Seven of Cups|Many choices and illusions. Be careful to choose wisely.
34|Eight of Cups|Walking away from something that no longer serves you.
35|Nine of Cups|Contentment, satisfaction, and wishes fulfilled.
36|Ten of Cups|Emotional fulfillment, harmony, and happy relationships.
37|Page of Cups|Creative opportunities, intuitive messages, and curiosity.
38|Knight of Cups|Romance, charm, and following your heart.
39|Queen of Cups|Compassion, emotional stability, and intuition.
40|King of Cups|Emotional balance, control, and wise leadership in relationships.
41|Ace of Pentacles|New financial or career opportunity, prosperity begins.
42|Two of Pentacles|Balance, adaptability, and managing multiple priorities.
43|Three of Pentacles|Teamwork, collaboration, and skill development.
44|Four of Pentacles|Security, control, and holding onto resources.
45|Five of Pentacles|Financial hardship or feeling left out in the cold.
46|Six of Pentacles|Generosity, giving, and receiving support.
47|Seven of Pentacles|Patience and long-term investment paying off.
48|Eight of Pentacles|Hard work, craftsmanship, and dedication to improvement.
49|Nine of Pentacles|Self-sufficiency, luxury, and independence.
50|Ten of Pentacles|Wealth, legacy, and long-term stability.
51|Page of Pentacles|New opportunities in learning or finances.
52|Knight of Pentacles|Reliability, diligence, and steady progress.
53|Queen of Pentacles|Nurturing, practicality, and financial security.
54|King of Pentacles|Wealth, leadership, and financial mastery.
55|Ace of Swords|Clarity, truth, and a breakthrough moment.
56|Two of Swords|Difficult decisions and avoidance.
57|Three of Swords|Heartbreak, sorrow, and emotional pain.
58|Four of Swords|Rest, recovery, and contemplation.
59|Five of Swords|Conflict, tension, and hollow victories.
60|Six of Swords|Transition, moving on, and healing.
61|Seven of Swords|Deception, strategy, or acting alone.
62|Eight of Swords|Feeling trapped, restriction, and limiting beliefs.
63|Nine of Swords|Anxiety, worry, and sleepless nights.
64|Ten of Swords|Painful endings and betrayal, but closure is near.
65|Page of Swords|Curiosity, new ideas, and communication.
66|Knight of Swords|Ambition, action, and fast-moving energy.
67|Queen of Swords|Independence, clarity, and honest communication.
68|King of Swords|Authority, logic, and intellectual power.
69|Ace of Wands|Inspiration, new beginnings, and creative energy.
70|Two of Wands|Planning, decisions, and looking to the future.
71|Three of Wands|Expansion, progress, and opportunities ahead.
72|Four of Wands|Celebration, stability, and milestones.
73|Five of Wands|Conflict, competition, and differing opinions.
74|Six of Wands|Success, recognition, and victory.
75|Seven of Wands|Defending your position and standing your ground.
76|Eight of Wands|Rapid movement, progress, and swift communication.
77|Nine of Wands|Resilience, persistence, and nearing completion.
78|Ten of Wands|Burden, responsibility, and hard work.
79|Page of Wands|Exploration, excitement, and new ideas.
80|Knight of Wands|Passion, adventure, and impulsive action.
81|Queen of Wands|Confidence, determination, and charisma.
82|King of Wands|Vision, leadership, and bold decision-making.
