1|Capricorn|♑|Earth|December 22 - January 19|Disciplined, ambitious, resilient
2|Aquarius|♒|Air|January 20 - February 18|Independent, innovative, humanitarian
3|Pisces|♓|Water|February 19 - March 20|Compassionate, imaginative, empathetic
4|Aries|♈|Fire|March 21 - April 19|Bold, energetic, pioneering
5|Taurus|♉|Earth|April 20 - May 20|Grounded, patient, sensual
6|Gemini|♊|Air|May 21 - June 20|Curious, adaptable, communicative
7|Cancer|♋|Water|June 21 - July 22|Nurturing, intuitive, protective
8|Leo|♌|Fire|July 23 - August 22|Confident, warm-hearted, expressive
9|Virgo|♍|Earth|August 23 - September 22|Practical, analytical, detail-oriented
10|Libra|♎|Air|September 23 - October 22|Harmonious, fair-minded, diplomatic
11|Scorpio|♏|Water|October 23 - November 21|Intense, passionate, perceptive
12|Sagittarius|♐|Fire|November 22 - December 21|Adventurous, optimistic, freedom-loving
